WSname_reference,panoIMGname_reference,sateIMGname_reference,time_reference,solar radiation_reference,air tem_reference,RH_reference,AH_reference,wind speed_reference,wind direction_reference,WSname_target,panoIMGname_target,sateIMGname_target,time_target,solar radiation_target,air tem_target,RH_target,AH_target,wind speed_target,wind direction_target,idx_s
WS_07,pano_WS_07_057.jpg,sate_WS_07_001.jpg,2020-02-29 11:00:00,592.8859144440396,24.0721991559392,58.74649402755194,27.244857174138154,0.01717184044584598,325.1292944991089,WS_13,pano_WS_13_032.jpg,sate_WS_13_001.jpg,2020-02-29 11:00:00,700.9762571193244,37.07450726258988,44.97550969092903,23.268071384912258,1.69008259477968,367.89818748491587,52840
WS_18,pano_WS_18_061.jpg,sate_WS_18_001.jpg,2019-02-06 14:00:00,1048.5277628900444,39.30855271525572,58.497006173097446,14.057717213867253,2.4500289118636434,156.2192238175198,WS_07,pano_WS_07_075.jpg,sate_WS_07_001.jpg,2019-02-06 14:00:00,931.6865243114139,33.3203781139877,63.52047328624465,19.355442130312113,0.2845372807968383,147.87829958158036,108267
WS_17,pano_WS_17_021.jpg,sate_WS_17_001.jpg,2019-03-18 10:00:00,45.085122783471974,38.07247428787988,79.41303635740947,14.609157090445345,0.5900422434886646,139.74977031122052,WS_17,pano_WS_17_026.jpg,sate_WS_17_001.jpg,2019-03-18 10:00:00,21.0705746697609,17.72036585615648,39.29239978358216,19.719949350008857,0.5566272241926103,178.74609790188245,98312
WS_02,pano_WS_02_092.jpg,sate_WS_02_001.jpg,2020-02-29 11:00:00,470.2984640136773,20.43925918957969,41.335217082542236,14.206052239350862,1.444816805382325,143.88452873073993,WS_02,pano_WS_02_090.jpg,sate_WS_02_001.jpg,2020-02-29 11:00:00,705.0047055123496,17.444472145316038,70.42182678858633,29.133351542324693,0.6356202949502704,138.1661574767968,9430
WS_13,pano_WS_13_038.jpg,sate_WS_13_001.jpg,2020-02-25 11:00:00,856.0804652377747,30.955707901735543,95.61623842527527,12.955645626701994,1.1026373794572006,116.81539507914556,WS_11,pano_WS_11_067.jpg,sate_WS_11_001.jpg,2020-02-25 11:00:00,726.6531364763616,37.21202453800335,64.48388225472917,29.61690901735048,0.8885815256825592,125.45710998386029,85456
WS_17,pano_WS_17_010.jpg,sate_WS_17_001.jpg,2020-02-29 17:00:00,131.1226020072551,24.94266247846069,82.62665410036143,21.527418117026368,1.1115411355954266,108.51051753620501,WS_06,pano_WS_06_048.jpg,sate_WS_06_001.jpg,2020-02-29 17:00:00,35.59713932479006,25.473108128311562,69.09636754525235,14.633246310138206,1.1016196333679664,271.2638198911481,106662
WS_06,pano_WS_06_047.jpg,sate_WS_06_001.jpg,2019-02-11 17:00:00,38.55073596978106,35.246937036567665,56.859231941923,21.402513876280437,1.122418300514931,213.06039999562245,WS_16,pano_WS_16_015.jpg,sate_WS_16_001.jpg,2019-02-11 17:00:00,32.8027382818788,23.88329622194186,30.31041907967006,21.998881482927754,2.0717034781535992,178.42237029045643,32989
WS_02,pano_WS_02_080.jpg,sate_WS_02_001.jpg,2019-02-11 09:00:00,219.21937844325427,15.347312784546933,61.28431358504062,16.083847769821652,0.9907035252453477,94.37312499233431,WS_06,pano_WS_06_088.jpg,sate_WS_06_001.jpg,2019-02-11 09:00:00,396.9116827929475,24.251862232336325,60.398988810565996,12.637736270118262,1.807815277017816,282.7299604762833,249
WS_08,pano_WS_08_050.jpg,sate_WS_08_001.jpg,2019-08-21 09:00:00,212.67339140921564,30.67306296431274,74.9754112216938,14.61954091005791,1.604242480419679,131.9600390826049,WS_08,pano_WS_08_078.jpg,sate_WS_08_001.jpg,2019-08-21 09:00:00,476.4926575815192,24.76673746922216,111.20931255268063,19.66402938677618,1.6698472819223396,139.35259577131444,59145
WS_20,pano_WS_20_061.jpg,sate_WS_20_001.jpg,2020-02-26 12:00:00,88.27487694532151,38.578873325593214,43.70071782480564,14.649690753996152,1.6464734006275255,203.33354585995153,WS_17,pano_WS_17_075.jpg,sate_WS_17_001.jpg,2020-02-26 12:00:00,404.6960729870887,16.87930205363743,40.86197390215367,15.096287088889389,0.5214781043013668,76.47756819371627,128406
